source,target,value
Web Development,HTML,0
Web Development,CSS,0
Web Development,Javascript,0
Composition,Harmony,0
Composition,Theory,0
Composition,Arranging,0
Composition,SuperCollider,0
Music Preparation,Sibelius,0
Music Preparation,Dorico,0
Music Preparation,Orchestration,0
Music Preparation,Arranging,0
Music Preparation,Engraving,0
Pianist,Harmony,2.0
Pianist,Theory,2.0
Pianist,Practical skills,2.0
Pianist,MainStage,2.0
Conductor,Harmony,0
Conductor,Practical Skills,0
Conductor,MainStage,0
Conductor,RMS,0
Programming,LaTeX,0
Programming,SuperCollider,0
Programming,JavaScript,0
